null,GGKA,GSKV,EGKA,egka,GGKV,GSKA,lib
152.929993,10336.91992,469.040009,159.490005,117.260002,1382.109985,1207.040039,432.139984
783.099976,3697.379883,785.969971,255.429993,223.449997,947.51001,95.529999,97.580002
659.690002,1536.27002,266.910004,143.089996,32.799999,2106.169922,321.440002,194.339996
322.26001,2596.530029,8922.419922,247.229996,263.630005,473.959991,474.779999,51.66
371.459991,1879.439941,75.849998,273.059998,41,699.460022,461.25,87.739998
75.029999,3475.159912,75.029999,128.330002,403.029999,1248.859985,1460.420044,159.490005
102.909996,747.429993,1362.429932,221.809998,104.549995,544.070007,795.809998,133.25
72.159996,1135.699951,2636.300049,179.580002,143.910004,982.77002,2447.290039,132.020004
213.199997,3906.889893,4430.049805,1587.109985,202.130005,687.570007,1463.290039,109.059998
498.559998,2210.310059,1911.420044,1999.97998,146.369995,5459.969727,1561.280029,306.679993
954.070007,5380.430176,247.229996,107.830002,32.799999,1760.949951,78.720001,141.449997
977.440002,854.849976,4444.810059,61.5,54.529999,4842.919922,553.5,139.399994
41,4447.27002,233.289993,228.369995,179.990005,1067.640015,432.139984,886.419983
80.360001,2247.619873,3549.369873,136.119995,37.720001,4588.310059,4002.01001,450.589996
47.149998,1556.359985,125.459999,58.630001,206.229996,1314.050049,3011.040039,317.339996
122.589996,908.149963,163.589996,199.669998,655.179993,757.679993,256.660004,63.139999
407.540009,6432.899902,1076.660034,80.360001,87.330002,2604.72998,2713.790039,362.440002
173.020004,1740.859985,124.639999,152.929993,219.349991,1268.949951,1786.369995,189.830002
79.949997,1975.380005,496.919983,72.57,328,912.25,182.039993,66.419998
91.019997,1996.290039,236.979996,212.380005,239.849991,1778.98999,820.820007,432.139984
94.709999,1537.089966,340.299988,350.959991,138.169998,5613.719727,366.540009,159.490005
68.059998,5073.75,761.779968,136.940002,69.290001,937.26001,5660.049805,91.019997
98.809998,7227.890137,346.040009,175.479996,241.490005,3051.629883,615.820007,358.339996
105.779999,634.27002,1483.380005,787.200012,47.149998,642.469971,153.75,89.379997
305.450012,290.279999,2436.219971,125.869995,457.970001,236.160004,510.040009,395.649994
930.700012,3162.73999,162.770004,570.719971,78.309998,1358.329956,164,110.699997
121.769997,1278.380005,334.559998,65.599998,80.769997,1467.390015,339.889984,61.91
163.589996,1756.849976,425.169983,318.980011,108.650002,1405.890015,109.059998,43.459999
61.5,3667.859863,790.890015,42.639999,109.879997,1469.849976,5321.799805,464.940002
71.339996,1041.809937,745.380005,169.740005,62.73,1103.309937,563.75,127.919998
171.380005,2491.570068,4788.390137,817.539978,55.349998,3416.119873,1391.949951,167.690002
171.789993,2909.77002,97.169998,36.900002,98.400002,564.97998,5756.399902,172.199997
102.5,501.839996,369.410004,267.730011,328,2865.899902,789.659973,1346.849976
117.260002,1712.569946,12633.33008,964.72998,286.179993,195.569992,1013.52002,224.270004
62.32,1654.349976,4470.640137,31.16,345.630005,1583.01001,508.809998,106.190002
159.080002,2240.23999,96.760002,99.629997,99.220001,873.710022,88.559998,54.529999
125.869995,3264.419922,141.860001,42.23,79.949997,1114.790039,1770.380005,202.949997
170.970001,521.929993,226.729996,243.130005,230.419998,1275.51001,2834.330078,80.360001
211.149994,1301.75,215.25,273.059998,54.119999,209.509995,260.350006,120.540001
89.379997,2784.310059,136.529999,102.089996,85.690002,3237.77002,1626.059937,395.23999
294.790009,2992.179932,251.73999,403.029999,61.5,1714.619995,1974.559937,93.889999
73.800003,4810.120117,975.390015,41.82,58.630001,744.149963,2908.540039,91.839996
110.699997,5909.739746,501.019989,168.509995,138.580002,1331.27002,2012.689941,135.709991
130.380005,1822.449951,646.159973,629.76001,102.909996,1461.23999,39.360001,138.990005
353.419983,1069.280029,517.830017,2970.040039,134.479996,537.099976,677.320007,78.309998
436.23999,790.47998,4567.810059,199.669998,86.099998,203.770004,1035.660034,100.860001
178.759995,82,1366.119995,35.669998,730.210022,204.589996,130.380005,109.059998
41.82,2392.350098,7030.27002,155.389999,55.759998,6437.819824,668.299988,382.119995
36.489998,663.789978,82.409996,235.75,84.050003,773.26001,514.140015,59.450001
174.25,2373.48999,1202.530029,77.489998,86.510002,2685.5,154.569992,85.690002
852.390015,6244.709961,88.970001,43.049999,137.759995,518.23999,291.100006,560.880005
102.5,1704.369995,175.069992,389.5,59.450001,153.75,122.18,63.139999
178.349991,455.51001,2630.149902,243.949997,257.480011,2245.159912,1140.619995,578.919983
129.149994,128.740005,448.130005,2603.5,339.480011,2002.849976,2043.849976,76.260002
136.529999,5513.680176,553.089966,80.769997,263.630005,3011.040039,1477.22998,118.489998
63.959999,1422.290039,166.459991,104.549995,191.059998,3394.800049,737.589966,111.519997
123.409996,1596.130005,184.089996,365.720001,107.010002,2432.119873,202.949997,41.82
242.309998,1775.709961,1970.049927,90.199997,68.059998,360.389984,1666.23999,295.200012
58.630001,2703.129883,3191.030029,262.399994,786.789978,3152.48999,293.970001,119.720001
972.109985,4446.040039,285.359985,284.540009,54.529999,3590.780029,1082.809937,129.559998
662.150024,2374.719971,690.029968,65.190002,70.110001,1235.329956,139.809998,269.779999
285.769989,74.209999,2436.629883,272.23999,51.25,553.909973,1142.26001,167.279999
219.349991,7081.109863,1366.939941,26.65,131.199997,1418.599976,318.160004,254.610001
530.950012,6792.060059,164.819992,54.529999,148.009995,5483.339844,989.73999,226.319992
121.360001,2562.5,2455.080078,1861.809937,68.879997,826.969971,1411.219971,77.900002
101.269997,1274.689941,3484.179932,136.940002,121.360001,1311.179932,1925.77002,111.519997
