null,EGKA,egka,GGKA,GSKV,GGKV,GSKA,lib
124.080002,2014.319946,439.559998,726.880005,155.759995,206.360001,91.519997,715.440002
349.359985,1928.959961,730.839966,238.479996,98.559998,124.959999,60.720001,231.440002
128.039993,1549.23999,4300.560059,473.440002,119.239998,55.880001,72.599998,139.479996
1255.76001,1345.959961,2635.600098,428.559998,55.880001,93.279999,47.959999,107.360001
42.68,1241.23999,1149.280029,300.959991,89.760002,148.720001,618.200012,559.679993
863.719971,6132.719727,974.599976,985.159973,104.279999,121.879997,439.559998,130.240005
219.559998,2113.76001,7693.399902,14134.12012,186.559998,70.839996,71.279999,321.639984
337.919983,1035.319946,833.359985,3598.320068,351.559998,38.279999,64.68,52.799999
405.23999,1228.47998,2018.280029,208.119995,392.480011,138.600006,284.679993,271.920013
59.400002,1864.719971,1645.160034,107.360001,65.120003,224.839996,41.799999,244.639999
1398.319946,3180.320068,10017.91992,344.959991,68.199997,66.879997,123.199997,105.159996
62.040001,452.320007,605,896.719971,42.239998,102.080002,44,266.200012
593.119995,6636.52002,4466,764.719971,153.119995,672.76001,95.479996,51.040001
178.199997,759.880005,1653.959961,408.320007,91.080002,39.599998,89.760002,878.679993
56.759998,1272.47998,1677.719971,882.200012,66,143.880005,77,594.880005
478.720001,2886.840088,2073.719971,1594.119995,543.400024,123.639999,152.240005,156.639999
289.079987,2816.439941,15492.40039,193.600006,306.679993,75.239998,432.079987,47.52
539,507.320007,1080.199951,203.720001,43.560001,237.160004,62.040001,148.279999
542.960022,932.359985,2189,255.199997,67.760002,144.759995,431.200012,445.720001
88.440002,4915.680176,784.960022,1367.52002,91.080002,208.119995,859.320007,112.639999
36.959999,1576.079956,1344.640015,690.359985,51.48,194.919998,89.760002,70.839996
57.639999,649,453.200012,1965.040039,449.679993,88.879997,29.039999,99.879997
601.919983,544.279968,542.52002,1911.800049,84.919998,127.159996,70.839996,168.520004
80.519997,2225.080078,1039.280029,305.359985,148.720001,147.399994,92.400002,80.519997
101.199997,2282.719971,2036.76001,2384.360107,92.839996,296.559998,130.240005,97.68
335.720001,1584.439941,5372.839844,2537.919922,151.360001,909.47998,301.399994,1408.880005
879.119995,5056.040039,5024.359863,1130.800049,36.52,474.76001,63.360001,382.799988
1195.47998,1078,964.919983,1684.76001,28.6,129.360001,186.119995,72.159996
62.919998,1263.23999,299.639984,458.040009,203.279999,345.399994,62.919998,519.640015
106.040001,534.159973,2368.52002,582.559998,108.68,45.32,430.320007,775.279968
234.520004,837.76001,5767.959961,276.76001,106.479996,112.639999,364.320007,116.159996
94.159996,1750.76001,1243.439941,1464.319946,126.720001,72.599998,77.440002,308
173.360001,3498.439941,500.720001,359.040009,142.559998,352.880005,253,236.720001
232.319992,938.960022,960.960022,991.320007,91.959999,88.879997,167.639999,55.880001
47.52,17630.80078,3133.679932,233.639999,42.239998,116.599998,65.120003,187
1142.23999,2899.600098,562.76001,663.52002,71.720001,114.839996,58.52,122.760002
152.679993,2468.840088,555.719971,816.640015,39.16,154.880005,80.959999,72.599998
287.320007,2010.800049,1065.23999,705.320007,51.919998,736.119995,148.279999,60.720001
75.68,1519.319946,1800.47998,1374.559937,139.479996,454.079987,182.160004,92.400002
72.159996,770.880005,788.039978,250.360001,95.040001,161.479996,192.720001,118.360001
488.839996,6076.839844,957.880005,463.320007,88,291.279999,71.720001,208.119995
412.720001,2025.319946,1458.160034,3955.600098,160.600006,117.919998,64.239998,161.919998
200.199997,2068.879883,1282.599976,1390.400024,89.32,330,485.76001,120.120003
262.679993,8154.52002,477.399994,748.880005,118.360001,70.839996,108.239998,352.880005
797.279968,2878.47998,398.200012,1125.079956,55,901.119995,125.839996,79.199997
66,594.880005,275.440002,395.559998,827.640015,142.559998,144.319992,700.47998
80.080002,3718.439941,1820.280029,762.080017,59.400002,120.120003,314.160004,73.480003
432.959991,1453.319946,465.519989,1381.599976,59.400002,69.080002,436.919983,223.959991
150.039993,783.640015,2728,1329.23999,113.080002,553.52002,117.479996,343.639984
322.959991,941.599976,626.119995,1371.920044,38.279999,145.199997,152.679993,300.079987
100.32,1727,3828,1375,33,279.839996,69.080002,88.440002
848.320007,1811.040039,5874,310.200012,80.519997,55.880001,118.800003,84.919998
2056.560059,1704.119995,2180.199951,458.919983,231,87.120003,83.159996,50.16
909.919983,1894.199951,971.960022,265.320007,72.599998,237.600006,222.199997,140.360001
1143.119995,1621.839966,1059.959961,385.440002,75.239998,154,116.159996,45.759998
779.23999,9073.679688,2407.679932,58.52,106.479996,159.720001,61.16,664.840027
64.68,2143.23999,269.279999,616.880005,53.68,83.599998,54.560001,220.880005
503.799988,4515.279785,2467.959961,1900.359985,99,334.839996,80.959999,44.880001
1103.079956,9893.839844,1301.079956,337.919983,115.279999,36.52,80.959999,563.640015
56.759998,1691.359985,1389.079956,847.880005,157.080002,63.799999,71.279999,310.639984
84.040001,1386.880005,141.679993,414.480011,410.519989,236.279999,66.879997,76.559998
121.440002,733.919983,1838.319946,539.880005,50.599998,40.48,251.679993,54.560001
96.360001,2419.560059,828.52002,1501.719971,42.68,43.119999,320.76001,115.279999
187.440002,1353,6809.439941,165.880005,596.640015,84.479996,44,25.959999
103.400002,943.359985,496.320007,724.679993,99.440002,109.120003,85.360001,140.800003
438.679993,4266.239746,1315.160034,172.919998,305.359985,383.23999,190.080002,783.640015
391.160004,1210.439941,85.800003,385.440002,48.400002,58.079998,163.240005,48.400002
168.959991,2307.800049,2199.560059,688.159973,50.599998,424.160004,55.439999,256.959991
256.519989,4048.439941,855.799988,780.559998,123.639999,344.959991,51.919998,111.760002
43.119999,3880.800049,5423.439941,187.880005,130.679993,87.559998,142.119995,250.360001
168.959991,2094.840088,3432.439941,682.440002,77.440002,92.400002,228.360001,45.32
150.919998,2486.439941,716.76001,268.839996,699.159973,190.959991,552.200012,167.639999
191.399994,1746.800049,1270.719971,921.359985,24.200001,146.080002,102.519997,76.120003
