null,lib,egka,EGKA,GGKA,GSKV,GGKV
89.459999,126,1711.079956,3087.629883,1276.380005,182.069992,78.75
156.240005,535.5,432.809998,5101.739746,1092.420044,70.559998,157.5
149.309998,282.23999,603.539978,846.719971,3148.73999,446.669983,337.049988
280.980011,143.009995,1348.829956,1131.47998,584.01001,180.179993,144.899994
242.550003,146.160004,792.539978,996.659973,275.309998,134.819992,120.959999
109.620003,320.040009,1408.050049,1904.48999,2303.909912,161.910004,241.919998
59.849998,71.82,4964.399902,4973.850098,2170.97998,101.43,91.349998
61.739998,311.850006,3824.099854,994.77002,374.220001,68.669998,114.659996
97.650002,76.860001,1273.22998,1031.309937,418.320007,417.690002,106.470001
177.660004,114.029999,2354.310059,4125.239746,598.5,131.669998,127.260002
77.489998,372.959991,253.259995,559.440002,425.25,94.5,139.229996
80.639999,143.009995,3214.26001,3221.820068,100.800003,292.320007,141.119995
97.019997,118.440002,1726.199951,2153.340088,1757.699951,126,86.309998
183.330002,134.819992,2835,4179.419922,824.039978,125.370003,68.669998
136.709991,192.149994,3241.349854,1626.660034,2409.119873,129.779999,238.770004
97.019997,334.529999,645.119995,2598.119873,1833.299927,279.720001,64.260002
230.580002,456.119995,2926.97998,1572.47998,767.969971,201.600006,52.290001
149.309998,98.279999,1113.209961,1386,287.279999,112.769997,85.68
151.830002,88.830002,737.72998,1892.52002,462.419983,48.509998,95.760002
119.699997,93.870003,3348.449951,1787.939941,248.849991,100.800003,541.799988
74.970001,103.949997,1724.309937,2775.780029,2324.070068,216.089996,660.869995
86.940002,122.220001,1350.719971,2669.310059,3851.189941,319.410004,308.070007
125.370003,180.179993,1190.069946,3380.580078,2421.719971,124.110001,141.75
90.720001,226.169998,316.889984,2187.359863,5138.279785,68.040001,73.080002
340.200012,227.429993,257.040009,476.910004,1191.329956,112.769997,164.429993
146.789993,121.589996,1240.469971,3141.179932,1540.97998,90.720001,136.080002
76.860001,144.899994,444.149994,703.710022,818.369995,44.099998,109.620003
115.290001,61.739998,3181.5,1578.780029,405.720001,91.979996,81.269997
217.349991,556.289978,1280.160034,2686.320068,2119.949951,110.879997,67.409996
74.339996,197.190002,1782.900024,8048.879883,243.809998,234.360001,204.75
68.040001,62.369999,1408.679932,2852.639893,1349.459961,62.369999,167.580002
170.100006,131.669998,1152.900024,556.919983,1169.910034,99.540001,196.559998
210.419998,175.139999,3030.300049,451.079987,206.639999,257.669983,231.209991
149.309998,255.779999,3473.820068,4313.609863,813.330017,64.260002,296.730011
362.25,245.699997,3345.300049,2255.399902,931.77002,86.309998,179.550003
271.529999,113.400002,928.619995,1910.160034,2039.939941,250.110001,98.909996
143.639999,144.270004,1411.829956,1210.859985,2342.969971,286.019989,572.039978
100.800003,38.43,146.160004,3835.439941,1217.160034,109.620003,108.360001
159.389999,149.309998,2492.280029,1224.719971,792.539978,202.860001,225.539993
142.380005,224.910004,1759.589966,2066.399902,2046.23999,388.079987,277.829987
61.739998,169.470001,1372.77002,880.73999,1340.01001,78.120003,131.669998
183.959991,139.860001,507.779999,3955.77002,381.779999,151.830002,42.84
136.709991,318.779999,1299.689941,3932.459961,1389.780029,276.570007,141.119995
94.5,160.649994,1169.910034,3596.040039,1072.890015,99.540001,93.870003
90.720001,103.949997,1049.579956,2532.600098,1823.219971,89.459999,388.709991
88.830002,110.25,1372.140015,886.409973,936.809998,950.039978,32.130001
109.620003,129.149994,337.679993,187.110001,1866.059937,47.25,81.900002
69.300003,82.529999,2284.379883,1981.349976,1408.050049,258.299988,129.149994
117.18,117.809998,1971.27002,3580.290039,828.450012,111.510002,68.669998
359.730011,69.300003,2886.030029,1891.890015,893.339966,129.779999,273.419983
170.729996,165.059998,1233.540039,1208.969971,398.160004,40.950001,238.139999
185.220001,117.809998,391.230011,3616.830078,270.269989,144.899994,122.220001
214.830002,64.260002,2599.379883,3505.949951,151.199997,57.329998,169.470001
